RtrCode,AMName,RtrName,DistName,RtrGroupCde,InvDate,PolypouchCount
TNJTR006-SLM0011552299052,SAFIULLAH,NEW NELLAI STORR,JAYAM TRADERS,PC-KIRANA/GENERAL STORES,2020-10-05,1
TNJTR006-SLM0021552891497,SAFIULLAH,Pasumai supermarket,JAYAM TRADERS,PC-Super Market (MT in GT & Departmental Store),2020-10-05,1
TNSKT006-SLM0011552900776,SAFIULLAH,SRI JAYAM MALIGAI STORE,SHRI KEERTHANA TRADERS,PC-KIRANA/GENERAL STORES,2020-10-05,1
GT0100020001530002000153-SLM0011560406478,SYED IBRAHIM,BILLAL MALIGAI ,DEVI AGENCIES,PC-KIRANA/GENERAL STORES,2020-10-05,1
GT0100020001590002000159-SLM0021596182268,SYED IBRAHIM,SRI KRISHNA SUPER MARKET,NILA VANIGAM,PC-PAN,2020-10-05,9
GT0100020001640002000164-SLM0011573026022,SYED IBRAHIM,S.R VETRI STORE,SELVAA AGENCIES,PC-WHOLESALE,2020-10-05,9
GT0100020001780002000178-SLM0041554711729,SYED IBRAHIM,APPLE SHOPPING MALL,VISALAKSHI MARKETINGS,PC-Super Market (MT in GT & Departmental Store),2020-10-05,18
GT0100020001780002000178-SLM0041554711729,SYED IBRAHIM,APPLE SHOPPING MALL,VISALAKSHI MARKETINGS,PC-Super Market (MT in GT & Departmental Store),2020-10-05,18
TNNVA003-SLM0011553325141,SYED IBRAHIM,LAKSHMI BANGLES,NILA VANIGAM,PC-WHOLESALE,2020-10-05,9
TNNVA003-SLM0011553325141,SYED IBRAHIM,LAKSHMI BANGLES,NILA VANIGAM,PC-WHOLESALE,2020-10-05,9
TNPKS002-SLM0011553581012,SYED IBRAHIM,ARUNA AGENCIES,PKS JEYARAJ NADAR&BROTHERS,PC-WHOLESALE,2020-10-05,18
TNPKS002-SLM0011553581012,SYED IBRAHIM,ARUNA AGENCIES,PKS JEYARAJ NADAR&BROTHERS,PC-WHOLESALE,2020-10-05,18
GT0100020000890002000089-SLM0011559377878,V BHARATHI,m.h yosuf store,SRI MAHESWARI AGENCIES,PC-WHOLESALE,2020-10-05,129
GT0100020000890002000089-SLM0011559377878,V BHARATHI,m.h yosuf store,SRI MAHESWARI AGENCIES,PC-WHOLESALE,2020-10-05,129
